                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                0.89042,                 1.2771,                 1.2712,                0.66847,                0.65758,                0.71472,                0.40759,                 1.0386,                 1.4029,                 1.4441,              0.0061216,              0.0061216,              0.0061216
                     93,                0.91814,                 1.4195,                 1.2928,                0.72275,                0.61616,                0.71121,                0.42117,                0.97968,                 1.5588,                 1.4105,              0.0061068,              0.0061068,              0.0061068
                     94,                0.85766,                 1.2151,                 1.2516,                 0.7216,                0.64848,                0.71913,                 0.4276,                0.98339,                 1.3612,                 1.4278,               0.006092,               0.006092,               0.006092
                     95,                0.82903,                 1.2495,                 1.2076,                0.73046,                0.61212,                0.67496,                 0.3985,                 1.0345,                 1.4201,                 1.5005,              0.0060772,              0.0060772,              0.0060772
                     96,                0.84059,                  1.171,                 1.2239,                0.66552,                0.54867,                0.63434,                0.36963,                 1.0043,                 1.5488,                 1.4485,              0.0060624,              0.0060624,              0.0060624
                     97,                0.84989,                 1.2028,                 1.2483,                0.73715,                0.62727,                0.71822,                0.42392,                0.99808,                 1.3645,                 1.4103,              0.0060475,              0.0060475,              0.0060475
                     98,                0.83577,                 1.1644,                 1.2156,                0.81659,                0.55316,                0.67294,                0.38169,                 1.0177,                 1.4366,                 1.4447,              0.0060327,              0.0060327,              0.0060327
                     99,                 0.8469,                 1.2178,                 1.2527,                0.68943,                0.60909,                0.68119,                0.39249,                 1.0302,                 1.4142,                  1.476,              0.0060179,              0.0060179,              0.0060179
                    100,                0.82138,                 1.1454,                 1.2229,                0.78793,                0.59394,                0.71072,                 0.4245,                 1.0107,                 1.3311,                 1.4071,              0.0060031,              0.0060031,              0.0060031
                    101,                0.82841,                 1.1322,                 1.2199,                0.69424,                0.61925,                0.68576,                0.41345,                 0.9657,                 1.4875,                 1.4145,              0.0059883,              0.0059883,              0.0059883
                    102,                0.84979,                 1.1802,                 1.2798,                0.64954,                0.63466,                0.64637,                0.37907,                 1.0154,                 1.5024,                 1.4275,              0.0059735,              0.0059735,              0.0059735
                    103,                0.83654,                 1.1637,                 1.2392,                0.77194,                 0.5949,                0.68952,                0.41389,                0.97241,                 1.4303,                 1.4096,              0.0059586,              0.0059586,              0.0059586
                    104,                 0.7912,                 1.1022,                 1.1789,                0.73114,                0.65152,                0.72941,                0.43379,                 1.0002,                 1.2872,                  1.422,              0.0059438,              0.0059438,              0.0059438
                    105,                0.80607,                  1.138,                 1.2046,                0.74518,                 0.6303,                0.72563,                0.43284,                0.97005,                 1.2913,                 1.4067,               0.005929,               0.005929,               0.005929
                    106,                0.83491,                 1.2101,                 1.1994,                0.77385,                0.63254,                0.73257,                0.42893,                0.99268,                 1.2627,                 1.4404,              0.0059142,              0.0059142,              0.0059142
                    107,                0.82043,                 1.2261,                 1.2096,                0.76248,                0.64202,                0.71402,                0.43771,                0.96684,                 1.3085,                 1.3863,              0.0058994,              0.0058994,              0.0058994
                    108,                0.80343,                 1.1276,                 1.2062,                0.71824,                0.67273,                0.73252,                 0.4283,                0.99326,                    1.3,                 1.4438,              0.0058846,              0.0058846,              0.0058846
                    109,                0.80649,                 1.1311,                 1.1868,                0.71423,                0.55758,                 0.6597,                 0.3906,                 1.0024,                 1.4216,                 1.4187,              0.0058697,              0.0058697,              0.0058697
                    110,                 0.7866,                 1.0962,                  1.156,                0.75375,                0.56581,                0.70762,                0.43873,                 0.9497,                 1.3538,                 1.3551,              0.0058549,              0.0058549,              0.0058549
                    111,                0.83599,                 1.1454,                 1.2109,                0.76939,                0.62424,                0.73279,                0.43623,                0.97583,                 1.2987,                  1.378,              0.0058401,              0.0058401,              0.0058401
                    112,                0.83529,                   1.14,                 1.2672,                0.71678,                0.65152,                0.69487,                0.41547,                0.99049,                 1.3412,                 1.4211,              0.0058253,              0.0058253,              0.0058253
                    113,                0.83305,                 1.1186,                 1.2222,                0.73608,                0.61515,                0.68392,                0.40517,                0.97076,                 1.3546,                 1.4018,              0.0058105,              0.0058105,              0.0058105
