                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                 1.1813,                 1.1131,                 1.1076,                0.76611,                0.62121,                0.72354,                0.42902,                 1.4024,                 1.3685,                 1.2946,              0.0072703,              0.0072703,              0.0072703
                    121,                 1.1577,                 1.0953,                 1.0948,                0.68203,                0.62398,                 0.6394,                 0.3895,                  1.465,                 1.5985,                 1.3487,              0.0072515,              0.0072515,              0.0072515
                    122,                 1.1486,                 1.0916,                 1.0831,                0.73193,                0.61212,                0.68576,                0.40442,                 1.4484,                 1.4895,                 1.3304,              0.0072327,              0.0072327,              0.0072327
                    123,                 1.1635,                 1.0786,                 1.1011,                0.71191,                0.64545,                0.70881,                0.42558,                 1.4356,                 1.3682,                 1.3251,              0.0072139,              0.0072139,              0.0072139
                    124,                 1.1349,                 1.0513,                  1.077,                0.77846,                0.61515,                0.72623,                0.42896,                 1.4215,                 1.3428,                 1.3282,               0.007195,               0.007195,               0.007195
                    125,                 1.1365,                 1.0681,                 1.0816,                 0.7349,                0.58788,                0.67551,                0.39249,                 1.4383,                 1.4529,                 1.3496,              0.0071762,              0.0071762,              0.0071762
                    126,                 1.1507,                 1.0754,                 1.0843,                0.72881,                0.61515,                 0.7181,                 0.4233,                  1.392,                 1.3604,                  1.287,              0.0071574,              0.0071574,              0.0071574
                    127,                 1.1415,                 1.0723,                 1.0765,                0.77732,                0.67879,                0.74216,                0.44339,                 1.4123,                 1.2592,                 1.2921,              0.0071386,              0.0071386,              0.0071386
                    128,                 1.1511,                 1.0727,                 1.0858,                0.75855,                0.62121,                 0.6979,                0.39768,                 1.5154,                 1.3896,                  1.378,              0.0071198,              0.0071198,              0.0071198
                    129,                  1.148,                 1.0846,                 1.0796,                0.80859,                0.69091,                0.75954,                0.44037,                  1.431,                 1.2354,                 1.3067,              0.0071009,              0.0071009,              0.0071009
                    130,                 1.1125,                 1.0363,                 1.0696,                0.75667,                0.62727,                  0.682,                0.39205,                 1.4778,                 1.5429,                 1.3695,              0.0070821,              0.0070821,              0.0070821
                    131,                 1.1201,                  1.039,                  1.064,                0.75821,                0.61766,                0.71087,                0.39414,                 1.5361,                 1.4188,                 1.3972,              0.0070633,              0.0070633,              0.0070633
