                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.8432,                 1.5385,                  1.383,                 0.7129,                0.61212,                0.69352,                0.39809,                 2.0169,                 1.7774,                 1.5257,              0.0050946,              0.0050946,              0.0050946
                     65,                 1.8339,                 1.5454,                 1.3811,                0.74289,                0.61212,                0.70315,                0.41599,                 1.9667,                 1.6415,                 1.5099,              0.0050831,              0.0050831,              0.0050831
                     66,                 1.8064,                 1.5021,                 1.3574,                0.68576,                0.58195,                0.65238,                0.38235,                 1.9563,                 1.9256,                 1.4959,              0.0050716,              0.0050716,              0.0050716
                     67,                 1.7951,                 1.4704,                 1.3502,                0.79249,                0.56709,                0.68928,                0.40041,                 2.0511,                 1.7575,                 1.5269,              0.0050601,              0.0050601,              0.0050601
                     68,                 1.8009,                 1.5175,                 1.3556,                 0.6902,                0.61515,                0.69206,                0.39859,                 1.9771,                 1.9036,                 1.5283,              0.0050486,              0.0050486,              0.0050486
                     69,                 1.7875,                  1.459,                 1.3545,                0.78419,                0.62121,                0.72329,                0.42213,                 1.9396,                 1.7332,                 1.4766,              0.0050371,              0.0050371,              0.0050371
                     70,                 1.7882,                 1.4705,                 1.3485,                0.65744,                0.58159,                0.66019,                0.38793,                 2.0442,                 1.7282,                 1.5547,              0.0050256,              0.0050256,              0.0050256
                     71,                 1.8056,                 1.4874,                 1.3615,                0.72596,                0.62424,                0.70292,                0.40246,                 1.9872,                 1.7138,                 1.5071,               0.005014,               0.005014,               0.005014
                     72,                 1.7988,                 1.4554,                 1.3598,                0.69698,                    0.6,                0.66916,                0.39974,                 1.9321,                  1.749,                 1.5068,              0.0050025,              0.0050025,              0.0050025
                     73,                  1.759,                 1.4414,                 1.3323,                0.70443,                0.65721,                0.70499,                0.42375,                 1.9329,                 1.7136,                  1.493,               0.004991,               0.004991,               0.004991
                     74,                 1.7867,                 1.4563,                 1.3434,                0.73559,                0.61515,                0.69286,                0.41816,                 1.9371,                 1.6024,                 1.4787,              0.0049795,              0.0049795,              0.0049795
                     75,                 1.7971,                 1.4385,                 1.3586,                0.69483,                0.63939,                0.67472,                0.39597,                 1.9131,                 1.9187,                 1.4809,               0.004968,               0.004968,               0.004968
                     76,                 1.7521,                 1.4327,                 1.3369,                0.72398,                0.58817,                0.68586,                0.41696,                   1.94,                  1.667,                 1.4909,              0.0049565,              0.0049565,              0.0049565
                     77,                 1.7334,                 1.3967,                 1.3237,                0.71789,                0.65758,                0.70056,                0.41682,                 1.9742,                 1.7011,                 1.5061,               0.004945,               0.004945,               0.004945
                     78,                 1.7237,                 1.4196,                 1.3307,                0.67353,                 0.6877,                0.72044,                0.43711,                 1.9185,                 1.6299,                  1.476,              0.0049335,              0.0049335,              0.0049335
                     79,                 1.7248,                 1.3777,                 1.3084,                0.72954,                0.63333,                0.69075,                  0.426,                 1.8764,                 1.7103,                 1.4565,              0.0049219,              0.0049219,              0.0049219
                     80,                 1.7304,                 1.3663,                 1.3169,                0.72609,                0.59445,                0.68041,                0.41389,                 1.9708,                 1.8058,                 1.4983,              0.0049104,              0.0049104,              0.0049104
                     81,                 1.7237,                 1.3695,                 1.3254,                0.68045,                0.66364,                0.69131,                0.41634,                 1.9537,                 1.6599,                 1.4904,              0.0048989,              0.0048989,              0.0048989
                     82,                 1.7018,                 1.3445,                 1.3155,                0.62728,                0.56667,                0.61865,                0.36071,                 1.9915,                 1.9458,                 1.5171,              0.0048874,              0.0048874,              0.0048874
                     83,                 1.6924,                 1.3649,                 1.3053,                0.72945,                0.60303,                 0.6995,                0.42995,                 1.8864,                 1.6291,                 1.4735,              0.0048759,              0.0048759,              0.0048759
                     84,                 1.6977,                 1.3561,                 1.3043,                0.70215,                0.63333,                0.67403,                0.38576,                 1.9776,                 1.7239,                 1.5207,              0.0048644,              0.0048644,              0.0048644
                     85,                 1.6818,                  1.329,                 1.3022,                0.74912,                0.65149,                0.71318,                0.43366,                 1.9049,                 1.6148,                 1.4822,              0.0048529,              0.0048529,              0.0048529
                     86,                 1.6899,                 1.3529,                 1.3009,                 0.7211,                0.65758,                0.72408,                 0.4338,                 1.9435,                 1.5518,                 1.4786,              0.0048413,              0.0048413,              0.0048413
                     87,                 1.6895,                 1.3229,                 1.2911,                0.69645,                0.66061,                0.72407,                0.44407,                 1.8482,                 1.5595,                 1.4359,              0.0048298,              0.0048298,              0.0048298
                     88,                 1.6724,                 1.3333,                 1.2875,                0.75351,                0.58788,                0.69068,                0.41077,                 1.9554,                  1.679,                 1.5102,              0.0048183,              0.0048183,              0.0048183
                     89,                 1.6808,                 1.3382,                 1.3121,                0.74474,                0.61212,                0.70136,                0.43339,                 1.8989,                 1.6863,                  1.494,              0.0048068,              0.0048068,              0.0048068
                     90,                 1.6791,                 1.3155,                 1.2937,                0.66722,                 0.6697,                0.69158,                0.41379,                  1.974,                 1.7284,                 1.4915,              0.0047953,              0.0047953,              0.0047953
                     91,                 1.6743,                 1.3114,                 1.3081,                0.71273,                 0.6165,                0.68074,                 0.4174,                 2.0009,                 1.7061,                 1.5234,              0.0047838,              0.0047838,              0.0047838
                     92,                 1.6412,                 1.2785,                 1.2832,                0.66164,                0.68788,                0.71298,                0.44773,                 1.8905,                 1.5818,                 1.4935,              0.0047723,              0.0047723,              0.0047723
                     93,                 1.6739,                 1.2792,                 1.2945,                0.75608,                0.65758,                0.73691,                0.44169,                 1.9294,                 1.5346,                 1.4814,              0.0047607,              0.0047607,              0.0047607
                     94,                 1.6579,                 1.2928,                 1.2802,                0.75813,                0.62727,                0.72328,                0.43496,                 1.9721,                 1.5898,                 1.4962,              0.0047492,              0.0047492,              0.0047492
                     95,                 1.6771,                 1.2839,                 1.2945,                0.71378,                0.65152,                0.70829,                0.42837,                 1.9082,                 1.6432,                 1.4803,              0.0047377,              0.0047377,              0.0047377
                     96,                 1.6321,                 1.2642,                 1.2726,                0.77943,                0.63939,                0.72288,                 0.4406,                 1.8806,                 1.5532,                 1.4729,              0.0047262,              0.0047262,              0.0047262
                     97,                 1.6149,                 1.2272,                 1.2642,                0.66978,                0.69453,                0.70065,                0.42118,                 1.9169,                 1.7586,                 1.5113,              0.0047147,              0.0047147,              0.0047147
                     98,                 1.5886,                 1.2157,                 1.2571,                0.76873,                0.64545,                0.71785,                0.42891,                 1.9702,                  1.568,                 1.5123,              0.0047032,              0.0047032,              0.0047032
                     99,                 1.6221,                 1.2418,                  1.259,                 0.7482,                0.67576,                0.71723,                0.43108,                 1.9302,                 1.5555,                 1.5084,              0.0046917,              0.0046917,              0.0046917
                    100,                 1.5866,                 1.2192,                 1.2563,                0.78548,                0.65466,                 0.7374,                0.44782,                 1.8605,                 1.5158,                 1.4316,              0.0046802,              0.0046802,              0.0046802
                    101,                 1.6024,                 1.2476,                 1.2603,                0.77531,                0.64242,                0.71816,                 0.4326,                 1.8519,                 1.5594,                 1.4438,              0.0046686,              0.0046686,              0.0046686
                    102,                 1.5763,                 1.2136,                 1.2419,                0.70335,                0.69694,                0.73368,                0.44304,                 1.8812,                 1.4801,                 1.4605,              0.0046571,              0.0046571,              0.0046571
                    103,                 1.5828,                 1.2095,                  1.248,                 0.7402,                 0.6697,                0.72947,                0.44414,                 1.8458,                 1.5259,                 1.4342,              0.0046456,              0.0046456,              0.0046456
                    104,                 1.6012,                 1.2151,                 1.2564,                 0.7127,                0.65758,                0.72181,                0.44679,                 1.9268,                 1.5496,                 1.4736,              0.0046341,              0.0046341,              0.0046341
                    105,                 1.5827,                 1.1947,                 1.2529,                0.73057,                0.63333,                0.70661,                0.44729,                  1.852,                 1.5208,                 1.4646,              0.0046226,              0.0046226,              0.0046226
                    106,                 1.5891,                 1.2271,                 1.2543,                0.73408,                0.63939,                0.70908,                0.44125,                  1.926,                  1.532,                   1.48,              0.0046111,              0.0046111,              0.0046111
                    107,                 1.5755,                 1.1748,                 1.2464,                0.73413,                0.68612,                0.72006,                 0.4309,                 1.9771,                 1.6198,                 1.5026,              0.0045996,              0.0045996,              0.0045996
                    108,                 1.5808,                 1.1843,                 1.2478,                0.73997,                0.61818,                0.71161,                0.41415,                 1.9499,                 1.6204,                  1.475,               0.004588,               0.004588,               0.004588
                    109,                   1.56,                 1.1909,                 1.2359,                0.77791,                0.66667,                0.74879,                0.46624,                 1.8568,                 1.4543,                 1.4243,              0.0045765,              0.0045765,              0.0045765
                    110,                 1.5403,                 1.1781,                 1.2211,                0.73515,                0.64767,                0.71118,                0.43772,                 1.8606,                  1.564,                 1.4598,               0.004565,               0.004565,               0.004565
                    111,                 1.5322,                 1.1558,                 1.2258,                0.69659,                0.66093,                0.72624,                0.45112,                 1.9003,                 1.5673,                 1.4691,              0.0045535,              0.0045535,              0.0045535
                    112,                 1.5492,                 1.1455,                 1.2279,                0.77078,                0.67576,                0.75284,                0.46172,                 1.8801,                 1.4591,                 1.4567,               0.004542,               0.004542,               0.004542
                    113,                 1.5221,                 1.1465,                 1.2157,                0.75323,                0.60122,                0.69859,                0.42855,                 1.9149,                  1.637,                 1.4893,              0.0045305,              0.0045305,              0.0045305
                    114,                 1.5102,                 1.1142,                  1.208,                0.74066,                0.66638,                0.73547,                0.43955,                 1.9095,                 1.5471,                 1.4718,               0.004519,               0.004519,               0.004519
                    115,                 1.5031,                 1.1178,                 1.2081,                0.65976,                0.70303,                0.71561,                0.43585,                 1.8107,                  1.544,                 1.4327,              0.0045075,              0.0045075,              0.0045075
                    116,                 1.5213,                 1.1402,                 1.2148,                 0.7981,                0.64848,                 0.7359,                0.46142,                 1.8342,                 1.4636,                 1.4402,              0.0044959,              0.0044959,              0.0044959
                    117,                 1.5012,                  1.135,                 1.2159,                0.71463,                0.66779,                0.72622,                0.45027,                 1.8749,                  1.526,                 1.4668,              0.0044844,              0.0044844,              0.0044844
                    118,                  1.505,                 1.1429,                  1.206,                0.73875,                0.68788,                0.75084,                0.45552,                 1.8533,                 1.5023,                 1.4296,              0.0044729,              0.0044729,              0.0044729
                    119,                 1.4962,                 1.1006,                 1.2008,                 0.7179,                0.67576,                0.71881,                0.43031,                 1.9397,                 1.6756,                  1.515,              0.0044614,              0.0044614,              0.0044614
                    120,                 1.4913,                 1.1282,                 1.2165,                0.79394,                0.66551,                0.75754,                0.45968,                 1.8161,                 1.4197,                 1.4361,              0.0044499,              0.0044499,              0.0044499
                    121,                 1.4806,                 1.1129,                 1.1974,                0.78917,                0.64848,                0.73776,                0.45181,                 1.8513,                 1.4862,                 1.4638,              0.0044384,              0.0044384,              0.0044384
                    122,                 1.4854,                 1.1014,                  1.195,                0.73476,                0.66364,                0.72928,                 0.4404,                 1.8849,                 1.5605,                 1.4964,              0.0044269,              0.0044269,              0.0044269
                    123,                  1.481,                 1.1052,                 1.2034,                0.71477,                0.69091,                0.73628,                 0.4563,                 1.8306,                 1.4778,                 1.4254,              0.0044153,              0.0044153,              0.0044153
                    124,                  1.489,                 1.0901,                 1.2101,                0.74011,                0.66061,                0.73107,                0.43069,                  1.874,                 1.5672,                 1.4558,              0.0044038,              0.0044038,              0.0044038
                    125,                 1.4733,                 1.0985,                 1.1967,                0.77637,                0.65152,                0.74181,                0.46041,                 1.8441,                 1.4477,                  1.432,              0.0043923,              0.0043923,              0.0043923
                    126,                 1.4391,                 1.0688,                 1.1799,                0.72159,                0.67879,                0.72146,                0.44828,                 1.8571,                 1.4616,                 1.4333,              0.0043808,              0.0043808,              0.0043808
                    127,                 1.4601,                 1.0604,                 1.1908,                0.80638,                0.63939,                0.73382,                0.44807,                 1.9757,                 1.4868,                 1.5315,              0.0043693,              0.0043693,              0.0043693
                    128,                 1.4592,                 1.0659,                 1.1948,                0.73226,                0.69394,                0.75236,                0.45712,                 1.8626,                 1.5236,                 1.4562,              0.0043578,              0.0043578,              0.0043578
                    129,                 1.4411,                 1.0572,                 1.1845,                0.69433,                0.68182,                0.71764,                0.44376,                  1.851,                 1.5694,                 1.4488,              0.0043463,              0.0043463,              0.0043463
                    130,                 1.4429,                 1.0486,                 1.1756,                0.74259,                0.67273,                0.73346,                0.44703,                  1.848,                 1.5042,                 1.4403,              0.0043347,              0.0043347,              0.0043347
