                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 2.4328,                 1.3029,                  2.035,                0.64404,                0.55376,                0.63185,                0.35128,                 2.5797,                 1.5223,                 2.2329,              0.0051538,              0.0051538,              0.0051538
                     65,                  2.437,                 1.3363,                 2.0673,                0.71127,                0.54242,                0.65972,                0.38233,                 2.4699,                 1.5359,                 2.1585,              0.0051421,              0.0051421,              0.0051421
                     66,                  2.468,                 1.3256,                 2.0632,                0.65944,                0.58089,                  0.646,                0.36755,                 2.5503,                 1.3227,                 2.2184,              0.0051304,              0.0051304,              0.0051304
                     67,                 2.4761,                 1.3534,                 2.0869,                 0.6994,                0.59091,                0.65716,                0.38799,                 2.4608,                 1.2901,                 2.1584,              0.0051187,              0.0051187,              0.0051187
                     68,                 2.4343,                 1.3202,                 2.0555,                0.72145,                0.55758,                0.64842,                0.38737,                 2.4601,                 1.3076,                 2.1607,               0.005107,               0.005107,               0.005107
                     69,                 2.4035,                 1.2826,                 2.0268,                0.70717,                0.55152,                0.65635,                0.38268,                 2.5227,                 1.2865,                 2.1913,              0.0050954,              0.0050954,              0.0050954
                     70,                 2.4349,                 1.3064,                 2.0417,                0.62949,                 0.6303,                0.65417,                0.38628,                 2.4403,                 1.2957,                 2.1352,              0.0050837,              0.0050837,              0.0050837
                     71,                 2.4131,                 1.2759,                 2.0133,                0.68221,                0.58182,                0.64183,                0.38568,                 2.3903,                 1.4018,                 2.1204,               0.005072,               0.005072,               0.005072
                     72,                 2.3749,                 1.2683,                 2.0074,                 0.7422,                0.60303,                0.70461,                0.41473,                 2.3816,                 1.2013,                 2.1062,              0.0050603,              0.0050603,              0.0050603
                     73,                 2.3991,                 1.2747,                 2.0156,                0.71202,                 0.5994,                0.62724,                0.35553,                 2.5241,                 1.3403,                 2.1947,              0.0050486,              0.0050486,              0.0050486
                     74,                 2.3774,                  1.274,                 2.0127,                0.75863,                    0.6,                0.69822,                0.40882,                 2.4075,                 1.2311,                 2.1137,              0.0050369,              0.0050369,              0.0050369
                     75,                 2.3536,                 1.2791,                 2.0194,                0.67057,                0.63636,                0.68331,                0.41172,                 2.3247,                 1.2496,                 2.0663,              0.0050252,              0.0050252,              0.0050252
                     76,                  2.355,                 1.2389,                 1.9891,                0.73378,                0.63478,                0.70039,                0.41362,                 2.4495,                 1.1961,                 2.1378,              0.0050136,              0.0050136,              0.0050136
                     77,                 2.3485,                 1.2553,                 1.9981,                0.76442,                0.56061,                0.65222,                0.38601,                 2.3965,                 1.3517,                 2.1426,              0.0050019,              0.0050019,              0.0050019
                     78,                 2.3283,                 1.2382,                 1.9771,                0.66295,                0.63179,                0.67526,                0.41762,                 2.3028,                 1.2512,                 2.0591,              0.0049902,              0.0049902,              0.0049902
                     79,                 2.3346,                 1.2389,                 1.9969,                0.76161,                0.57576,                0.70126,                 0.4244,                 2.3574,                 1.3071,                 2.0894,              0.0049785,              0.0049785,              0.0049785
                     80,                 2.3839,                 1.2702,                 2.0087,                0.70004,                0.62941,                0.68893,                0.40994,                  2.362,                 1.1999,                 2.1034,              0.0049668,              0.0049668,              0.0049668
                     81,                 2.2961,                 1.1945,                  1.981,                0.72373,                0.57949,                 0.6871,                0.41854,                 2.3749,                 1.2034,                 2.1007,              0.0049551,              0.0049551,              0.0049551
                     82,                 2.3444,                 1.2035,                 1.9752,                0.71836,                0.64926,                0.70252,                0.43521,                 2.3096,                 1.2573,                  2.064,              0.0049434,              0.0049434,              0.0049434
                     83,                 2.3319,                 1.2106,                 1.9768,                0.73834,                0.61818,                0.72013,                0.43493,                 2.3392,                 1.1321,                 2.0849,              0.0049318,              0.0049318,              0.0049318
                     84,                 2.2948,                  1.191,                 1.9419,                 0.7407,                0.61212,                0.69001,                0.42651,                 2.3605,                 1.2377,                 2.0844,              0.0049201,              0.0049201,              0.0049201
                     85,                 2.3133,                 1.2092,                 1.9754,                 0.7203,                0.56968,                0.67363,                0.40307,                 2.3662,                 1.2367,                 2.0539,              0.0049084,              0.0049084,              0.0049084
                     86,                 2.3096,                    1.2,                 1.9691,                0.73261,                0.60303,                0.68725,                0.40653,                  2.371,                 1.1949,                 2.0967,              0.0048967,              0.0048967,              0.0048967
                     87,                 2.3059,                 1.2048,                 1.9621,                0.77586,                0.60606,                0.72585,                0.43311,                 2.3045,                 1.2317,                 2.0455,               0.004885,               0.004885,               0.004885
                     88,                 2.3191,                 1.2067,                 1.9841,                0.72328,                0.64155,                0.70948,                0.43269,                 2.3133,                 1.1813,                  2.042,              0.0048733,              0.0048733,              0.0048733
                     89,                 2.2428,                 1.1604,                 1.9296,                0.67804,                 0.5697,                 0.6642,                0.39051,                 2.4095,                 1.4357,                 2.0995,              0.0048616,              0.0048616,              0.0048616
                     90,                 2.2169,                 1.1375,                 1.9023,                0.72753,                0.63939,                0.70689,                0.43404,                 2.2897,                 1.1512,                 2.0361,                0.00485,                0.00485,                0.00485
                     91,                 2.2275,                 1.1501,                 1.9381,                 0.6617,                0.66061,                 0.7036,                0.42548,                 2.3356,                 1.1862,                 2.0446,              0.0048383,              0.0048383,              0.0048383
                     92,                 2.2201,                 1.1467,                 1.9102,                0.73054,                 0.6303,                0.73175,                 0.4405,                 2.3449,                 1.1177,                 2.0662,              0.0048266,              0.0048266,              0.0048266
                     93,                 2.2442,                 1.1532,                 1.9258,                0.74798,                0.61159,                0.70876,                0.42871,                  2.341,                 1.2054,                 2.0316,              0.0048149,              0.0048149,              0.0048149
                     94,                  2.205,                 1.1303,                 1.9068,                0.80389,                0.59697,                0.72338,                0.43604,                 2.3449,                 1.1478,                 2.0829,              0.0048032,              0.0048032,              0.0048032
                     95,                 2.2065,                 1.1349,                    1.9,                0.71644,                0.62781,                0.71339,                 0.4279,                 2.3555,                 1.1799,                  2.084,              0.0047915,              0.0047915,              0.0047915
                     96,                 2.2358,                 1.1543,                 1.9323,                0.76483,                 0.6303,                0.72726,                0.44122,                 2.3176,                 1.1794,                 2.0707,              0.0047798,              0.0047798,              0.0047798
                     97,                 2.2128,                  1.133,                 1.9168,                 0.7321,                0.65455,                 0.7302,                0.45126,                 2.2728,                 1.0991,                 2.0056,              0.0047682,              0.0047682,              0.0047682
                     98,                 2.2303,                 1.1355,                  1.911,                 0.7002,                0.66364,                0.73238,                0.44301,                 2.2846,                  1.092,                 2.0032,              0.0047565,              0.0047565,              0.0047565
                     99,                 2.2045,                 1.1412,                 1.8874,                0.72597,                0.61817,                0.70432,                0.42819,                 2.3275,                 1.3104,                   2.05,              0.0047448,              0.0047448,              0.0047448
                    100,                  2.177,                 1.1191,                 1.8914,                0.73432,                0.62121,                0.72271,                0.43414,                 2.3772,                 1.2238,                 2.0928,              0.0047331,              0.0047331,              0.0047331
                    101,                 2.2144,                 1.1031,                 1.8947,                0.68812,                0.63517,                0.67927,                0.40191,                 2.4069,                 1.2794,                 2.0993,              0.0047214,              0.0047214,              0.0047214
                    102,                 2.1679,                 1.0758,                 1.8695,                0.71372,                0.66482,                0.72676,                0.43256,                 2.3304,                  1.089,                 2.0539,              0.0047097,              0.0047097,              0.0047097
                    103,                 2.1643,                 1.0839,                 1.8829,                0.77383,                 0.6221,                0.73851,                0.45345,                 2.2653,                 1.0645,                 2.0094,               0.004698,               0.004698,               0.004698
                    104,                 2.1959,                 1.1134,                 1.8981,                0.71072,                 0.6697,                0.72435,                0.44192,                 2.3014,                 1.1369,                 2.0562,              0.0046864,              0.0046864,              0.0046864
